company_name,sector ,Rating,reviews,Average salary,Number of Interview,Benifited
Capgemini,IT Services & Consulting,3.6,(54.9k),5L,5.6k,3.9k
HDFC Bank,Banking,3.8,(54k),1.5L,3.2k,3.5k
Infosys,IT Services & Consulting,3.5,(50k),5.3L,8.5k,5k
HCLTech,IT Services & Consulting,3.4,(47.1k),3.9L,4.6k,4k
ICICI Bank,Banking,3.9,(46.8k),1.6L,3k,3.9k
Tech Mahindra,IT Services & Consulting,3.3,(44.3k),2.9L,4.7k,3.5k
Genpact,Analytics & KPO,3.6,(43.5k),2.4L,4k,3.7k
TCS,IT Services & Consulting,3.3,(1.2L),10.4L,11.4k,11k
Accenture,IT Services & Consulting,3.7,(75.4k),7.1L,9.5k,7k
Wipro,IT Services & Consulting,3.6,(66.5k),4.9L,7k,4.9k
Cognizant,IT Services & Consulting,3.7,(62.8k),6.1L,6.6k,5.7k
Capgemini,IT Services & Consulting,3.6,(54.9k),5L,5.6k,3.9k
HDFC Bank,Banking,3.8,(54k),1.5L,3.2k,3.5k
Infosys,IT Services & Consulting,3.5,(50k),5.3L,8.5k,5k
HCLTech,IT Services & Consulting,3.4,(47.1k),3.9L,4.6k,4k
ICICI Bank,Banking,3.9,(46.8k),1.6L,3k,3.9k
Tech Mahindra,IT Services & Consulting,3.3,(44.3k),2.9L,4.7k,3.5k
Genpact,Analytics & KPO,3.6,(43.5k),2.4L,4k,3.7k
TP,BPO,3.9,(39.8k),1L,2.3k,2k
TCS,IT Services & Consulting,3.3,(1.2L),10.4L,11.4k,11k
Accenture,IT Services & Consulting,3.7,(75.4k),7.1L,9.5k,7k
Wipro,IT Services & Consulting,3.6,(66.5k),4.9L,7k,4.9k
Cognizant,IT Services & Consulting,3.7,(62.8k),6.1L,6.6k,5.7k
Capgemini,IT Services & Consulting,3.6,(54.9k),5L,5.6k,3.9k
HDFC Bank,Banking,3.8,(54k),1.5L,3.2k,3.5k
Infosys,IT Services & Consulting,3.5,(50k),5.3L,8.5k,5k
HCLTech,IT Services & Consulting,3.4,(47.1k),3.9L,4.6k,4k
ICICI Bank,Banking,3.9,(46.8k),1.6L,3k,3.9k
Tech Mahindra,IT Services & Consulting,3.3,(44.3k),2.9L,4.7k,3.5k
Genpact,Analytics & KPO,3.6,(43.5k),2.4L,4k,3.7k
TP,BPO,3.9,(39.8k),1L,2.3k,2k
Axis Bank,Banking,3.6,(34.2k),1L,2k,2.3k
TCS,IT Services & Consulting,3.3,(1.2L),10.4L,11.4k,11k
Accenture,IT Services & Consulting,3.7,(75.4k),7.1L,9.5k,7k
Wipro,IT Services & Consulting,3.6,(66.5k),4.9L,7k,4.9k
Cognizant,IT Services & Consulting,3.7,(62.8k),6.1L,6.6k,5.7k
Capgemini,IT Services & Consulting,3.6,(54.9k),5L,5.6k,3.9k
HDFC Bank,Banking,3.8,(54k),1.5L,3.2k,3.5k
Infosys,IT Services & Consulting,3.5,(50k),5.3L,8.5k,5k
HCLTech,IT Services & Consulting,3.4,(47.1k),3.9L,4.6k,4k
ICICI Bank,Banking,3.9,(46.8k),1.6L,3k,3.9k
Tech Mahindra,IT Services & Consulting,3.3,(44.3k),2.9L,4.7k,3.5k
Genpact,Analytics & KPO,3.6,(43.5k),2.4L,4k,3.7k
TP,BPO,3.9,(39.8k),1L,2.3k,2k
Axis Bank,Banking,3.6,(34.2k),1L,2k,2.3k
Jio,Telecom,4.4,(34.1k),61.4k,4.5k,2.7k
TCS,IT Services & Consulting,3.3,(1.2L),10.4L,11.4k,11k
Accenture,IT Services & Consulting,3.7,(75.4k),7.1L,9.5k,7k
Wipro,IT Services & Consulting,3.6,(66.5k),4.9L,7k,4.9k
Cognizant,IT Services & Consulting,3.7,(62.8k),6.1L,6.6k,5.7k
Capgemini,IT Services & Consulting,3.6,(54.9k),5L,5.6k,3.9k
HDFC Bank,Banking,3.8,(54k),1.5L,3.2k,3.5k
Infosys,IT Services & Consulting,3.5,(50k),5.3L,8.5k,5k
HCLTech,IT Services & Consulting,3.4,(47.1k),3.9L,4.6k,4k
ICICI Bank,Banking,3.9,(46.8k),1.6L,3k,3.9k
Tech Mahindra,IT Services & Consulting,3.3,(44.3k),2.9L,4.7k,3.5k
Genpact,Analytics & KPO,3.6,(43.5k),2.4L,4k,3.7k
TP,BPO,3.9,(39.8k),1L,2.3k,2k
Axis Bank,Banking,3.6,(34.2k),1L,2k,2.3k
Jio,Telecom,4.4,(34.1k),61.4k,4.5k,2.7k
Concentrix Corporation,BPO,3.5,(33k),1.3L,2k,3.2k
TCS,IT Services & Consulting,3.3,(1.2L),10.4L,11.4k,11k
Accenture,IT Services & Consulting,3.7,(75.4k),7.1L,9.5k,7k
Wipro,IT Services & Consulting,3.6,(66.5k),4.9L,7k,4.9k
Cognizant,IT Services & Consulting,3.7,(62.8k),6.1L,6.6k,5.7k
Capgemini,IT Services & Consulting,3.6,(54.9k),5L,5.6k,3.9k
HDFC Bank,Banking,3.8,(54k),1.5L,3.2k,3.5k
Infosys,IT Services & Consulting,3.5,(50k),5.3L,8.5k,5k
HCLTech,IT Services & Consulting,3.4,(47.1k),3.9L,4.6k,4k
ICICI Bank,Banking,3.9,(46.8k),1.6L,3k,3.9k
Tech Mahindra,IT Services & Consulting,3.3,(44.3k),2.9L,4.7k,3.5k
Genpact,Analytics & KPO,3.6,(43.5k),2.4L,4k,3.7k
TP,BPO,3.9,(39.8k),1L,2.3k,2k
Axis Bank,Banking,3.6,(34.2k),1L,2k,2.3k
Jio,Telecom,4.4,(34.1k),61.4k,4.5k,2.7k
Concentrix Corporation,BPO,3.5,(33k),1.3L,2k,3.2k
Amazon,Internet,3.9,(32.5k),1.6L,6.1k,3.5k
TCS,IT Services & Consulting,3.3,(1.2L),10.4L,11.4k,11k
Accenture,IT Services & Consulting,3.7,(75.4k),7.1L,9.5k,7k
Wipro,IT Services & Consulting,3.6,(66.5k),4.9L,7k,4.9k
Cognizant,IT Services & Consulting,3.7,(62.8k),6.1L,6.6k,5.7k
Capgemini,IT Services & Consulting,3.6,(54.9k),5L,5.6k,3.9k
HDFC Bank,Banking,3.8,(54k),1.5L,3.2k,3.5k
Infosys,IT Services & Consulting,3.5,(50k),5.3L,8.5k,5k
HCLTech,IT Services & Consulting,3.4,(47.1k),3.9L,4.6k,4k
ICICI Bank,Banking,3.9,(46.8k),1.6L,3k,3.9k
Tech Mahindra,IT Services & Consulting,3.3,(44.3k),2.9L,4.7k,3.5k
Genpact,Analytics & KPO,3.6,(43.5k),2.4L,4k,3.7k
TP,BPO,3.9,(39.8k),1L,2.3k,2k
Axis Bank,Banking,3.6,(34.2k),1L,2k,2.3k
Jio,Telecom,4.4,(34.1k),61.4k,4.5k,2.7k
Concentrix Corporation,BPO,3.5,(33k),1.3L,2k,3.2k
Amazon,Internet,3.9,(32.5k),1.6L,6.1k,3.5k
Reliance Retail,Retail,3.9,(27.8k),74.7k,2k,1.9k
TCS,IT Services & Consulting,3.3,(1.2L),10.4L,11.4k,11k
Accenture,IT Services & Consulting,3.7,(75.4k),7.1L,9.5k,7k
Wipro,IT Services & Consulting,3.6,(66.5k),4.9L,7k,4.9k
Cognizant,IT Services & Consulting,3.7,(62.8k),6.1L,6.6k,5.7k
Capgemini,IT Services & Consulting,3.6,(54.9k),5L,5.6k,3.9k
HDFC Bank,Banking,3.8,(54k),1.5L,3.2k,3.5k
Infosys,IT Services & Consulting,3.5,(50k),5.3L,8.5k,5k
HCLTech,IT Services & Consulting,3.4,(47.1k),3.9L,4.6k,4k
ICICI Bank,Banking,3.9,(46.8k),1.6L,3k,3.9k
Tech Mahindra,IT Services & Consulting,3.3,(44.3k),2.9L,4.7k,3.5k
Genpact,Analytics & KPO,3.6,(43.5k),2.4L,4k,3.7k
TP,BPO,3.9,(39.8k),1L,2.3k,2k
Axis Bank,Banking,3.6,(34.2k),1L,2k,2.3k
Jio,Telecom,4.4,(34.1k),61.4k,4.5k,2.7k
Concentrix Corporation,BPO,3.5,(33k),1.3L,2k,3.2k
Amazon,Internet,3.9,(32.5k),1.6L,6.1k,3.5k
Reliance Retail,Retail,3.9,(27.8k),74.7k,2k,1.9k
iEnergizer,BPO,4.6,(27.6k),25.1k,1.7k,750
TCS,IT Services & Consulting,3.3,(1.2L),10.4L,11.4k,11k
Accenture,IT Services & Consulting,3.7,(75.4k),7.1L,9.5k,7k
Wipro,IT Services & Consulting,3.6,(66.5k),4.9L,7k,4.9k
Cognizant,IT Services & Consulting,3.7,(62.8k),6.1L,6.6k,5.7k
Capgemini,IT Services & Consulting,3.6,(54.9k),5L,5.6k,3.9k
HDFC Bank,Banking,3.8,(54k),1.5L,3.2k,3.5k
Infosys,IT Services & Consulting,3.5,(50k),5.3L,8.5k,5k
HCLTech,IT Services & Consulting,3.4,(47.1k),3.9L,4.6k,4k
ICICI Bank,Banking,3.9,(46.8k),1.6L,3k,3.9k
Tech Mahindra,IT Services & Consulting,3.3,(44.3k),2.9L,4.7k,3.5k
Genpact,Analytics & KPO,3.6,(43.5k),2.4L,4k,3.7k
TP,BPO,3.9,(39.8k),1L,2.3k,2k
Axis Bank,Banking,3.6,(34.2k),1L,2k,2.3k
Jio,Telecom,4.4,(34.1k),61.4k,4.5k,2.7k
Concentrix Corporation,BPO,3.5,(33k),1.3L,2k,3.2k
Amazon,Internet,3.9,(32.5k),1.6L,6.1k,3.5k
Reliance Retail,Retail,3.9,(27.8k),74.7k,2k,1.9k
iEnergizer,BPO,4.6,(27.6k),25.1k,1.7k,750
LTM Limited,IT Services & Consulting,3.6,(27.2k),2L,3.5k,871
TCS,IT Services & Consulting,3.3,(1.2L),10.4L,11.4k,11k
Accenture,IT Services & Consulting,3.7,(75.4k),7.1L,9.5k,7k
Wipro,IT Services & Consulting,3.6,(66.5k),4.9L,7k,4.9k
Cognizant,IT Services & Consulting,3.7,(62.8k),6.1L,6.6k,5.7k
Capgemini,IT Services & Consulting,3.6,(54.9k),5L,5.6k,3.9k
HDFC Bank,Banking,3.8,(54k),1.5L,3.2k,3.5k
Infosys,IT Services & Consulting,3.5,(50k),5.3L,8.5k,5k
HCLTech,IT Services & Consulting,3.4,(47.1k),3.9L,4.6k,4k
ICICI Bank,Banking,3.9,(46.8k),1.6L,3k,3.9k
Tech Mahindra,IT Services & Consulting,3.3,(44.3k),2.9L,4.7k,3.5k
Genpact,Analytics & KPO,3.6,(43.5k),2.4L,4k,3.7k
TP,BPO,3.9,(39.8k),1L,2.3k,2k
Axis Bank,Banking,3.6,(34.2k),1L,2k,2.3k
Jio,Telecom,4.4,(34.1k),61.4k,4.5k,2.7k
Concentrix Corporation,BPO,3.5,(33k),1.3L,2k,3.2k
Amazon,Internet,3.9,(32.5k),1.6L,6.1k,3.5k
Reliance Retail,Retail,3.9,(27.8k),74.7k,2k,1.9k
iEnergizer,BPO,4.6,(27.6k),25.1k,1.7k,750
LTM Limited,IT Services & Consulting,3.6,(27.2k),2L,3.5k,871
HDB Financial Services,NBFC,3.9,(26.3k),49.8k,1.1k,1.6k
IBM,IT Services & Consulting,3.9,(26.3k),2.2L,2.7k,2.7k
IBM,IT Services & Consulting,3.9,(26.3k),2.2L,2.7k,2.7k
Larsen & Toubro Limited,Engineering & Construction,3.9,(24.5k),76.9k,1.9k,2.7k
IBM,IT Services & Consulting,3.9,(26.3k),2.2L,2.7k,2.7k
Larsen & Toubro Limited,Engineering & Construction,3.9,(24.5k),76.9k,1.9k,2.7k
Deloitte,Management Consulting,3.6,(24k),2.8L,3.4k,2.5k
IBM,IT Services & Consulting,3.9,(26.3k),2.2L,2.7k,2.7k
Larsen & Toubro Limited,Engineering & Construction,3.9,(24.5k),76.9k,1.9k,2.7k
Deloitte,Management Consulting,3.6,(24k),2.8L,3.4k,2.5k
Kotak Mahindra Bank,Banking,3.6,(23.1k),88.4k,1.4k,1.4k
IBM,IT Services & Consulting,3.9,(26.3k),2.2L,2.7k,2.7k
Larsen & Toubro Limited,Engineering & Construction,3.9,(24.5k),76.9k,1.9k,2.7k
Deloitte,Management Consulting,3.6,(24k),2.8L,3.4k,2.5k
Kotak Mahindra Bank,Banking,3.6,(23.1k),88.4k,1.4k,1.4k
Reliance Industries,Oil & Gas,4.0,(20.7k),75.5k,1.6k,2k
IBM,IT Services & Consulting,3.9,(26.3k),2.2L,2.7k,2.7k
Larsen & Toubro Limited,Engineering & Construction,3.9,(24.5k),76.9k,1.9k,2.7k
Deloitte,Management Consulting,3.6,(24k),2.8L,3.4k,2.5k
Kotak Mahindra Bank,Banking,3.6,(23.1k),88.4k,1.4k,1.4k
Reliance Industries,Oil & Gas,4.0,(20.7k),75.5k,1.6k,2k
Vodafone Idea,Telecom,3.9,(17.9k),48.4k,712,2.1k
IBM,IT Services & Consulting,3.9,(26.3k),2.2L,2.7k,2.7k
Larsen & Toubro Limited,Engineering & Construction,3.9,(24.5k),76.9k,1.9k,2.7k
Deloitte,Management Consulting,3.6,(24k),2.8L,3.4k,2.5k
Kotak Mahindra Bank,Banking,3.6,(23.1k),88.4k,1.4k,1.4k
Reliance Industries,Oil & Gas,4.0,(20.7k),75.5k,1.6k,2k
Vodafone Idea,Telecom,3.9,(17.9k),48.4k,712,2.1k
Bharti Airtel,Telecom,3.8,(17.4k),50.4k,1.1k,1.7k
IBM,IT Services & Consulting,3.9,(26.3k),2.2L,2.7k,2.7k
Larsen & Toubro Limited,Engineering & Construction,3.9,(24.5k),76.9k,1.9k,2.7k
Deloitte,Management Consulting,3.6,(24k),2.8L,3.4k,2.5k
Kotak Mahindra Bank,Banking,3.6,(23.1k),88.4k,1.4k,1.4k
Reliance Industries,Oil & Gas,4.0,(20.7k),75.5k,1.6k,2k
Vodafone Idea,Telecom,3.9,(17.9k),48.4k,712,2.1k
Bharti Airtel,Telecom,3.8,(17.4k),50.4k,1.1k,1.7k
BYJU'S,EdTech,3.2,(16.4k),50.1k,2.1k,1.7k
IBM,IT Services & Consulting,3.9,(26.3k),2.2L,2.7k,2.7k
Larsen & Toubro Limited,Engineering & Construction,3.9,(24.5k),76.9k,1.9k,2.7k
Deloitte,Management Consulting,3.6,(24k),2.8L,3.4k,2.5k
Kotak Mahindra Bank,Banking,3.6,(23.1k),88.4k,1.4k,1.4k
Reliance Industries,Oil & Gas,4.0,(20.7k),75.5k,1.6k,2k
Vodafone Idea,Telecom,3.9,(17.9k),48.4k,712,2.1k
Bharti Airtel,Telecom,3.8,(17.4k),50.4k,1.1k,1.7k
BYJU'S,EdTech,3.2,(16.4k),50.1k,2.1k,1.7k
WNS,IT Services & Consulting,3.3,(15.7k),71.5k,1.3k,1.4k
IBM,IT Services & Consulting,3.9,(26.3k),2.2L,2.7k,2.7k
Larsen & Toubro Limited,Engineering & Construction,3.9,(24.5k),76.9k,1.9k,2.7k
Deloitte,Management Consulting,3.6,(24k),2.8L,3.4k,2.5k
Kotak Mahindra Bank,Banking,3.6,(23.1k),88.4k,1.4k,1.4k
Reliance Industries,Oil & Gas,4.0,(20.7k),75.5k,1.6k,2k
Vodafone Idea,Telecom,3.9,(17.9k),48.4k,712,2.1k
Bharti Airtel,Telecom,3.8,(17.4k),50.4k,1.1k,1.7k
BYJU'S,EdTech,3.2,(16.4k),50.1k,2.1k,1.7k
WNS,IT Services & Consulting,3.3,(15.7k),71.5k,1.3k,1.4k
IDFC FIRST Bank,Banking,4.0,(15.4k),50.9k,1k,849
IBM,IT Services & Consulting,3.9,(26.3k),2.2L,2.7k,2.7k
Larsen & Toubro Limited,Engineering & Construction,3.9,(24.5k),76.9k,1.9k,2.7k
Deloitte,Management Consulting,3.6,(24k),2.8L,3.4k,2.5k
Kotak Mahindra Bank,Banking,3.6,(23.1k),88.4k,1.4k,1.4k
Reliance Industries,Oil & Gas,4.0,(20.7k),75.5k,1.6k,2k
Vodafone Idea,Telecom,3.9,(17.9k),48.4k,712,2.1k
Bharti Airtel,Telecom,3.8,(17.4k),50.4k,1.1k,1.7k
BYJU'S,EdTech,3.2,(16.4k),50.1k,2.1k,1.7k
WNS,IT Services & Consulting,3.3,(15.7k),71.5k,1.3k,1.4k
IDFC FIRST Bank,Banking,4.0,(15.4k),50.9k,1k,849
Ernst & Young,Management Consulting,3.4,(15k),1.5L,1.4k,1.1k
IBM,IT Services & Consulting,3.9,(26.3k),2.2L,2.7k,2.7k
Larsen & Toubro Limited,Engineering & Construction,3.9,(24.5k),76.9k,1.9k,2.7k
Deloitte,Management Consulting,3.6,(24k),2.8L,3.4k,2.5k
Kotak Mahindra Bank,Banking,3.6,(23.1k),88.4k,1.4k,1.4k
Reliance Industries,Oil & Gas,4.0,(20.7k),75.5k,1.6k,2k
Vodafone Idea,Telecom,3.9,(17.9k),48.4k,712,2.1k
Bharti Airtel,Telecom,3.8,(17.4k),50.4k,1.1k,1.7k
BYJU'S,EdTech,3.2,(16.4k),50.1k,2.1k,1.7k
WNS,IT Services & Consulting,3.3,(15.7k),71.5k,1.3k,1.4k
IDFC FIRST Bank,Banking,4.0,(15.4k),50.9k,1k,849
Ernst & Young,Management Consulting,3.4,(15k),1.5L,1.4k,1.1k
IndusInd Bank,Banking,3.4,(14.6k),52.8k,788,868
IBM,IT Services & Consulting,3.9,(26.3k),2.2L,2.7k,2.7k
Larsen & Toubro Limited,Engineering & Construction,3.9,(24.5k),76.9k,1.9k,2.7k
Deloitte,Management Consulting,3.6,(24k),2.8L,3.4k,2.5k
Kotak Mahindra Bank,Banking,3.6,(23.1k),88.4k,1.4k,1.4k
Reliance Industries,Oil & Gas,4.0,(20.7k),75.5k,1.6k,2k
Vodafone Idea,Telecom,3.9,(17.9k),48.4k,712,2.1k
Bharti Airtel,Telecom,3.8,(17.4k),50.4k,1.1k,1.7k
BYJU'S,EdTech,3.2,(16.4k),50.1k,2.1k,1.7k
WNS,IT Services & Consulting,3.3,(15.7k),71.5k,1.3k,1.4k
IDFC FIRST Bank,Banking,4.0,(15.4k),50.9k,1k,849
Ernst & Young,Management Consulting,3.4,(15k),1.5L,1.4k,1.1k
IndusInd Bank,Banking,3.4,(14.6k),52.8k,788,868
AU Small Finance Bank,Banking,3.8,(14.6k),30.6k,724,645
IBM,IT Services & Consulting,3.9,(26.3k),2.2L,2.7k,2.7k
Larsen & Toubro Limited,Engineering & Construction,3.9,(24.5k),76.9k,1.9k,2.7k
Deloitte,Management Consulting,3.6,(24k),2.8L,3.4k,2.5k
Kotak Mahindra Bank,Banking,3.6,(23.1k),88.4k,1.4k,1.4k
Reliance Industries,Oil & Gas,4.0,(20.7k),75.5k,1.6k,2k
Vodafone Idea,Telecom,3.9,(17.9k),48.4k,712,2.1k
Bharti Airtel,Telecom,3.8,(17.4k),50.4k,1.1k,1.7k
BYJU'S,EdTech,3.2,(16.4k),50.1k,2.1k,1.7k
WNS,IT Services & Consulting,3.3,(15.7k),71.5k,1.3k,1.4k
IDFC FIRST Bank,Banking,4.0,(15.4k),50.9k,1k,849
Ernst & Young,Management Consulting,3.4,(15k),1.5L,1.4k,1.1k
IndusInd Bank,Banking,3.4,(14.6k),52.8k,788,868
AU Small Finance Bank,Banking,3.8,(14.6k),30.6k,724,645
Tata Motors,Automobile,4.1,(14.5k),44.3k,1.3k,1.7k
IBM,IT Services & Consulting,3.9,(26.3k),2.2L,2.7k,2.7k
Larsen & Toubro Limited,Engineering & Construction,3.9,(24.5k),76.9k,1.9k,2.7k
Deloitte,Management Consulting,3.6,(24k),2.8L,3.4k,2.5k
Kotak Mahindra Bank,Banking,3.6,(23.1k),88.4k,1.4k,1.4k
Reliance Industries,Oil & Gas,4.0,(20.7k),75.5k,1.6k,2k
Vodafone Idea,Telecom,3.9,(17.9k),48.4k,712,2.1k
Bharti Airtel,Telecom,3.8,(17.4k),50.4k,1.1k,1.7k
BYJU'S,EdTech,3.2,(16.4k),50.1k,2.1k,1.7k
WNS,IT Services & Consulting,3.3,(15.7k),71.5k,1.3k,1.4k
IDFC FIRST Bank,Banking,4.0,(15.4k),50.9k,1k,849
Ernst & Young,Management Consulting,3.4,(15k),1.5L,1.4k,1.1k
IndusInd Bank,Banking,3.4,(14.6k),52.8k,788,868
AU Small Finance Bank,Banking,3.8,(14.6k),30.6k,724,645
Tata Motors,Automobile,4.1,(14.5k),44.3k,1.3k,1.7k
Bajaj Finserv,NBFC,3.9,(13.6k),32.2k,814,786
IBM,IT Services & Consulting,3.9,(26.3k),2.2L,2.7k,2.7k
Larsen & Toubro Limited,Engineering & Construction,3.9,(24.5k),76.9k,1.9k,2.7k
Deloitte,Management Consulting,3.6,(24k),2.8L,3.4k,2.5k
Kotak Mahindra Bank,Banking,3.6,(23.1k),88.4k,1.4k,1.4k
Reliance Industries,Oil & Gas,4.0,(20.7k),75.5k,1.6k,2k
Vodafone Idea,Telecom,3.9,(17.9k),48.4k,712,2.1k
Bharti Airtel,Telecom,3.8,(17.4k),50.4k,1.1k,1.7k
BYJU'S,EdTech,3.2,(16.4k),50.1k,2.1k,1.7k
WNS,IT Services & Consulting,3.3,(15.7k),71.5k,1.3k,1.4k
IDFC FIRST Bank,Banking,4.0,(15.4k),50.9k,1k,849
Ernst & Young,Management Consulting,3.4,(15k),1.5L,1.4k,1.1k
IndusInd Bank,Banking,3.4,(14.6k),52.8k,788,868
AU Small Finance Bank,Banking,3.8,(14.6k),30.6k,724,645
Tata Motors,Automobile,4.1,(14.5k),44.3k,1.3k,1.7k
Bajaj Finserv,NBFC,3.9,(13.6k),32.2k,814,786
Muthoot FinCorp,NBFC,4.5,(13.3k),9.7k,2.4k,309
IBM,IT Services & Consulting,3.9,(26.3k),2.2L,2.7k,2.7k
Larsen & Toubro Limited,Engineering & Construction,3.9,(24.5k),76.9k,1.9k,2.7k
Deloitte,Management Consulting,3.6,(24k),2.8L,3.4k,2.5k
Kotak Mahindra Bank,Banking,3.6,(23.1k),88.4k,1.4k,1.4k
Reliance Industries,Oil & Gas,4.0,(20.7k),75.5k,1.6k,2k
Vodafone Idea,Telecom,3.9,(17.9k),48.4k,712,2.1k
Bharti Airtel,Telecom,3.8,(17.4k),50.4k,1.1k,1.7k
BYJU'S,EdTech,3.2,(16.4k),50.1k,2.1k,1.7k
WNS,IT Services & Consulting,3.3,(15.7k),71.5k,1.3k,1.4k
IDFC FIRST Bank,Banking,4.0,(15.4k),50.9k,1k,849
Ernst & Young,Management Consulting,3.4,(15k),1.5L,1.4k,1.1k
IndusInd Bank,Banking,3.4,(14.6k),52.8k,788,868
AU Small Finance Bank,Banking,3.8,(14.6k),30.6k,724,645
Tata Motors,Automobile,4.1,(14.5k),44.3k,1.3k,1.7k
Bajaj Finserv,NBFC,3.9,(13.6k),32.2k,814,786
Muthoot FinCorp,NBFC,4.5,(13.3k),9.7k,2.4k,309
Flipkart,Internet,3.9,(13.4k),56.6k,1.8k,1.5k
IBM,IT Services & Consulting,3.9,(26.3k),2.2L,2.7k,2.7k
Larsen & Toubro Limited,Engineering & Construction,3.9,(24.5k),76.9k,1.9k,2.7k
Deloitte,Management Consulting,3.6,(24k),2.8L,3.4k,2.5k
Kotak Mahindra Bank,Banking,3.6,(23.1k),88.4k,1.4k,1.4k
Reliance Industries,Oil & Gas,4.0,(20.7k),75.5k,1.6k,2k
Vodafone Idea,Telecom,3.9,(17.9k),48.4k,712,2.1k
